t,x,y,vx,vy,thrust
100.0,159692.67039554255,42155878.55168933,1596.9483808165035,-22.429318700252768,1
200.0,319386.84295097215,42152514.042085566,1596.9208996142704,-44.86146264266603,1
300.0,479074.01501208363,42146906.11763034,1596.808358360885,-67.29785253761962,1
400.0,638745.676382928,42139054.28267813,1596.6106690375498,-89.73990949719625,1
500.0,798393.3068043758,42128957.89943221,1596.3277183919704,-112.18905551305214,1
600.0,958008.3734281899,42116616.18783275,1595.9593678834722,-134.64671393617317,1
700.0,1117582.3282846073,42102028.22539676,1595.50545360803,-157.11430995886775,1
800.0,1277106.6057414112,42085192.94700978,1594.9657862030315,-179.5932710993457,1
900.0,1436572.6199524594,42066109.14466894,1594.3401507315605,-202.08502768923117,1
1000.0,1595971.7622936044,42044775.46717709,1593.6283065459588,-224.59101336435688,1
1100.0,1755295.3987839255,42021190.41978773,1592.8299871304016,-247.11266555918777,1
1200.0,1914534.8674901533,41995352.36380019,1591.9448999221838,-269.6514260052216,1
1300.0,2073681.4759121488,41967259.51610491,1590.9727261113933,-292.20874123371686,1
1400.0,2232726.498347251,41936909.94867806,1589.9131204186115,-314.78606308310003,1
1500.0,2391661.173231283,41904301.58802532,1588.7657108502535,-337.38484921140673,1
1600.0,2550476.700453953,41869432.21457399,1587.5300984311295,-360.0065636141159,1
1700.0,2709164.238646356,41832299.462013185,1586.2058569137735,-382.6526771477403,1
1800.0,2867714.902438229,41792900.81658128,1584.7925324640548,-405.32466805954175,1
1900.0,3026119.759682555,41751233.61630005,1583.289643322555,-428.02402252374657,1
2000.0,3184369.8286450743,41707295.0501549,1581.6966794411526,-450.75223518464213,1
2100.0,3342456.075156186,41661082.15722042,1580.013102094224,-473.5108097069456,1
2200.0,3500369.409722679,41612591.82573049,1578.238343463834,-496.3012593338424,1
2300.0,3658100.684596651,41561820.79209217,1576.3718061982418,-519.1251074531028,1
2400.0,3815640.690798914,41508765.63984262,1574.4128629430113,-541.9838881716959,1
2500.0,3972980.155094112,41453422.79854809,1572.3608558439744,-564.87914689933,1
2600.0,4130109.7369146906,41395788.54264402,1570.2150960212414,-587.8124409413629,1
2700.0,4287020.025230791,41335858.99021548,1567.9748630134122,-610.7853401015363,1
2800.0,4443701.5353630325,41273630.10171676,1565.63940419109,-633.7994272950056,1
2900.0,4600144.7057350725,41209097.67862909,1563.2079341387446,-656.8562991721466,1
3000.0,4756339.8945627315,41142257.362055525,1560.6796340039177,-679.9575667536444,1
3100.0,4912277.3764763605,41073104.631251596,1558.053650812708,-703.1048560773767,1
3200.0,5067947.339073024,41001634.80209079,1555.3290967504038,-726.2998088576298,1
3300.0,5223339.87939495,40927843.02546339,1552.5050484060775,-749.5440831572007,1
3400.0,5378445.000330597,40851724.28560747,1549.5805459798778,-772.8393540729569,1
3500.0,5533252.606934515,40773273.39837064,1546.5545924516873,-796.1873144354507,1
3600.0,5687752.502662092,40692485.009401046,1543.4261527097424,-819.5896755232021,1
3700.0,5841934.3855151,40609353.592266254,1540.194152637721,-843.0481677922885,1
3800.0,5995787.844093797,40523873.446498364,1536.857478158728,-866.5645416219049,1
3900.0,6149302.353551217,40436038.695563704,1533.414974234518,-890.1405680765795,1
4000.0,6302467.271445064,40345843.28475547,1529.8654438181902,-913.7780396857581,1
4100.0,6455271.833482471,40253280.979007505,1526.2076467585073,-937.4787712414976,1
4200.0,6607705.149152698,40158345.36062739,1522.440298653866,-961.2446006150337,1
4300.0,6759756.197242611,40061029.826946855,1518.5620696538488,-985.0773895930221,1
4400.0,6911413.82122962,39961327.58788758,1514.5715832061587,-1008.9790247342772,1
4500.0,7062666.724546471,39859231.663440265,1510.4674147466167,-1032.95141824787,1
4600.0,7213503.465712093,39754734.88105477,1506.2480903297687,-1056.996508893472,1
4700.0,7363912.453322434,39647829.87293907,1501.9120851975047,-1081.1162629048767,1
4800.0,7513881.940894935,39538509.073264696,1497.4578222829443,-1105.3126749376513,1
4900.0,7663400.021560047,39426764.715276085,1492.8836706466857,-1129.5877690419234,1
5000.0,7812454.622592852,39312588.82830143,1488.187943842341,-1153.9435996613347,1
5100.0,7961033.499777582,39195973.23466224,1483.3688982081076,-1178.382252659238,1
5200.0,8109124.231597436,39076909.546478905,1478.4247310809296,-1202.9058463732538,1
5300.0,8256714.213241809,38955389.16236926,1473.3535789296054,-1227.5165326993465,1
5400.0,8403790.650422608,38831403.26403734,1468.1535154029766,-1252.2164982066236,1
5500.0,8550340.552990975,38704942.81274895,1462.8225492891117,-1277.0079652841077,1
5600.0,8696350.728345297,38575998.54569098,1457.3586223811471,-1301.89319332078,1
5700.0,8841807.774620948,38444560.972210966,1451.7596072451931,-1326.87447992024,1
