t,x,y,vx,vy,thrust
200.0,319566.8324295087,42152512.35737682,1598.7206666161103,-44.88673006330489,1
400.0,639465.4722168571,42139040.81203273,1600.2085385563441,-89.8408984689197,1
600.0,959627.2804066428,42116570.75584601,1601.3518854463737,-134.87369920154146,1
800.0,1279983.059850458,42085085.34766426,1602.1477208051658,-179.99627141785393,1
1000.0,1600462.9770646365,42044565.5225508,1602.592667791928,-225.21971673216512,1
1200.0,1920996.4841235785,41994989.99751749,1602.68295858976,-270.55511706754737,1
1400.0,2241512.2402657047,41936335.273630545,1602.4144321350768,-316.0135530748246,1
1600.0,2561938.0328732296,41868575.63437595,1601.7825301130117,-361.60612311658736,1
1800.0,2882200.6974709057,41791683.14017208,1600.7822911382016,-407.3439628098098,1
2000.0,3202226.036372681,41705627.61891865,1599.4083430394844,-453.23826511864246,1
2200.0,3521938.735588803,41610376.65247282,1597.6548931657098,-499.3003009885622,1
2400.0,3841262.279589144,41505895.55894498,1595.5157166277786,-545.5414405142236,1
2600.0,4160118.8635012573,41392147.37070807,1592.984142388859,-591.9731746359856,1
2800.0,4478429.30230362,41269092.80801484,1590.053037110184,-638.6071373640626,1
3000.0,4796112.936555425,41136690.2481172,1586.7147866536302,-685.4551285344196,1
3200.0,5113087.534183737,40994895.68978045,1582.9612751341833,-732.529137106736,1
3400.0,5429269.187826469,40843662.713082306,1578.7838614051584,-779.8413650218304,1
3600.0,5744572.2072049845,40682942.434382476,1574.1733528464579,-827.4042516437031,1
3800.0,6058909.00597273,40512683.45634264,1569.1199763110137,-875.2304988196513,1
4000.0,6372189.98245557,40332831.812869154,1563.6133460666663,-923.3330966005933,1
4200.0,6684323.393664941,40143330.90884153,1557.6424285498601,-971.7253496726803,1
4400.0,6995215.2219258305,39944121.454478465,1551.1955037234798,-1020.4209045603521,1
4600.0,7304769.0334173925,39735141.39418048,1544.2601228036142,-1069.4337776701268,1
4800.0,7612885.827873882,39516325.829673216,1536.8230620887632,-1118.7783842535166,1
5000.0,7919463.878636838,39287606.93725907,1528.8702725895946,-1168.4695683764917,1
5200.0,8224398.562185149,39048913.8789663,1520.3868251174342,-1218.5226339918077,1
5400.0,8527582.176196862,38800172.70736472,1511.3568504447023,-1268.9533772192558,1
5600.0,8828903.74511428,38541306.26379514,1501.763474099909,-1319.7781199474507,1
5800.0,9128248.81209084,38272234.069736175,1491.5887453028733,-1371.013744879101,1
6000.0,9425499.216093086,37992872.21100698,1480.8135594816902,-1422.6777321498012,1
6200.0,9720532.852812307,37703133.214477316,1469.4175737406301,-1474.7881976581539,1
6400.0,10013223.417906206,37402925.91692855,1457.379114566438,-1527.3639332524438,1
6600.0,10303440.130939417,37092155.32567895,1444.675076967995,-1580.424448925988,1
6800.0,10591047.438220419,36770722.470555946,1431.2808141393746,-1633.9900171795716,1
7000.0,10875904.69253871,36438524.24676554,1417.1700166170049,-1688.0817197147935,1
7200.0,11157865.807586957,36095453.248176046,1402.314579765667,-1742.721496626416,1
7400.0,11436778.884604586,35741397.59049917,1386.6844582726753,-1797.9321982645502,1
7600.0,11712485.808497785,35376240.72381742,1370.2475061516218,-1853.7376399381697,1
7800.0,11984821.810371147,34999861.23387252,1352.9693005527201,-1910.162659629363,1
8000.0,12253614.99304271,34612132.63149616,1334.812947441558,-1967.2331788819968,1
8200.0,12518685.815699913,34212923.129532784,1315.7388669366132,-2024.9762670179057,1
8400.0,12779846.533381546,33802095.40657477,1295.7045557818637,-2083.420208816827,1
8600.0,13036900.586430412,33379506.356805794,1274.6643240665894,-2142.594575771116,1
8800.0,13289641.93444264,32945006.825229134,1252.569002880971,-2202.530300990267,1
9000.0,13537854.328529159,32498441.327547535,1229.3656191023865,-2263.259757780174,1
9200.0,13781310.514887692,32039647.75396268,1204.9970329302682,-2324.816841853685,1
9400.0,14019771.36174131,31568457.056179814,1179.4015331111655,-2387.237057036885,1
9600.0,14252984.900610661,31084692.916941863,1152.5123840010456,-2450.557604212649,1
9800.0,14480685.271625357,30588171.401484642,1124.2573176756007,-2514.817473080252,1
10000.0,14702591.561114574,30078700.590409387,1094.5579631930227,-2580.057536095284,1
10200.0,14918406.51801052,29556080.19362299,1063.3292038027575,-2646.3206436724936,1
10400.0,15127815.133605817,29020101.145214938,1030.4784513357192,-2713.6517193652453,1
10600.0,15330483.066872708,28470545.17944337,995.9048251542303,-2782.0978532527506,1
10800.0,15526054.894812267,27907184.388416726,959.4982208193024,-2851.708391135518,1
11000.0,15714152.16407511,27329780.762616023,921.1382509693635,-2922.5350163149415,1
11200.0,15894371.216283407,26738085.716150776,880.6930376996446,-2994.6318196543493,1
11400.0,16066280.754967207,26131839.599636957,838.0178318625992,-3068.0553522060177,1
11600.0,16229419.116658697,25510771.204905424,792.9534300239582,-3142.8646528348017,1
11800.0,16383291.202284163,24874597.26749583,745.3243541148668,-3219.1212408310075,1
12000.0,16527365.01733041,24223021.975199036,694.9367518776827,-3296.8890602901893,1
12200.0,16661067.760061294,23555736.49396085,641.5759677089968,-3376.2343587850496,1
12400.0,16783781.385974023,22872418.52649259,585.0037230768038,-3457.225477209921,1
12600.0,16894837.563281115,22172731.924273737,524.9548328474317,-3539.932520156601,1
12800.0,16993511.917940777,21456326.380717676,461.1333679918323,-3624.4268661146334,1
13000.0,17079001.933636922,20722970.26167853,393.01793992709344,-3709.117240537715,1
13200.0,17150423.813651968,19972551.139221203,320.42910051358797,-3795.4008434230573,0
13400.0,17206850.670044344,19204676.935736682,242.9943208424308,-3883.6794399762343,0
13600.0,17247267.441433024,18418941.961017977,160.2452549997881,-3974.019176269377,0
13800.0,17270559.328334246,17614927.84781829,71.65128271826772,-4066.480192681198,0
14000.0,17275498.328220956,16792205.076012205,-23.39090420940775,-4161.113219044597,0
14200.0,17260727.48693681,15950335.294090252,-125.5697953543424,-4257.954943723281,0
14400.0,17224742.40496756,15088874.725070437,-235.67410740363948,-4357.0217139888,0
14600.0,17165869.431500986,14207379.048621532,-354.61096954176116,-4458.300953214656,0
14800.0,17082239.848108247,13305410.297098447,-483.42797683707965,-4561.7394357668245,0
15000.0,16971759.18168123,12382546.507975796,-623.3400102433662,-4667.227209529632,0
15200.0,16832070.587084383,11438395.164764231,-775.7619208471576,-4774.575448665716,0
15400.0,16660510.998706153,10472611.871198077,-942.3483955094761,-4883.485780207677,0
15600.0,16454058.464778803,9484926.296191595,-1125.0425354541633,-4993.507543970568,0
15800.0,16209268.755324742,8475178.284734465,-1326.1348270349358,-5103.977844994717,0
16000.0,15922198.998993011,7443368.27972494,-1548.3341304555565,-5213.936884534135,0
16200.0,15588315.820711056,6389728.031907251,-1794.8517782868212,-5322.007529229606,0
16400.0,15202385.36705752,5314820.27182184,-2069.4982963067337,-5426.22285140507,0
16600.0,14758343.028229028,4219679.989970226,-2376.788511605876,-5523.777705927418,0
16800.0,14249142.223802878,3106015.793806876,-2722.042695945916,-5610.669432561368,0
17000.0,13666585.56691032,1976498.217339246,-3111.4546605870637,-5681.177866892008,0
17200.0,13001150.497556197,835173.5927641846,-3552.064390606464,-5727.116904677629,0
17400.0,12241839.700053856,-311942.703529133,-4051.5085757245533,-5736.774934220995,0
17600.0,11376122.637787165,-1456023.4250460984,-4617.3040532627565,-5693.4700498963575,0
17800.0,10390102.101854729,-2584258.736624619,-5255.217620681291,-5573.734640297623,0
18000.0,9269156.956887607,-3678307.135864853,-5965.9852834019,-5345.446596642029,0
18200.0,7999487.982703241,-4712447.76584707,-6739.39672526226,-4966.998735466001,0
18400.0,6571173.288071046,-5651872.930685078,-7545.12686278313,-4390.142731043409,0
